id_film,titre_film,duree,genres_liste,date_sortie,utilisateur_note,nbre_utilisateur_note
['5591666'],The Domestics,95 min,"Action, Horror, Sci-Fi            ",(2018),5.7,"10,054"
['5960374'],Vox Lux,114 min,"Drama, Music            ",(2018),5.8,"18,590"
['5254610'],Final Score,104 min,"Action, Drama, Thriller            ",(2018),5.8,"13,143"
['4701724'],Early Man,89 min,"Animation, Adventure, Comedy            ",(2018),6.1,"22,395"
['4481066'],Giant Little Ones,93 min,Drama            ,(2018),7.2,"8,538"
['6182908'],Smallfoot,96 min,"Animation, Adventure, Comedy            ",(2018),6.6,"39,961"
['4685806'],The Con Is On,95 min,"Comedy, Crime            ",(2018),4.0,"9,320"
['8426594'],The Wind,88 min,"Horror, Mystery, Thriller            ",(II) (2018),5.6,"8,617"
['7959216'],Utøya 22. juli,93 min,"Drama, Thriller            ",(2018),7.2,"14,552"
['7243754'],Dirty Work,73 min,"Drama, Romance, Thriller            ",(2018),3.3,380
['5737536'],Future World,88 min,"Action, Adventure, Sci-Fi            ",(2018),3.2,"6,411"
['4761916'],Unfriended: Dark Web,92 min,"Horror, Mystery, Thriller            ",(2018),6.0,"33,791"
['6671244'],Wij,100 min,Drama            ,(2018),5.7,"2,841"
['7334528'],Uncle Drew,103 min,"Comedy, Sport            ",(2018),5.8,"14,655"
['3263946'],Trial by Fire,127 min,"Biography, Drama            ", (2018),7.0,"10,737"
['6010628'],Zoe,104 min,"Romance, Sci-Fi            ", (2018),6.0,"9,372"
['7672068'],"Papa, sdokhni",99 min,"Comedy, Drama, Thriller            ",(2018),6.8,"4,741"
['5979872'],Bleach: Burîchu,108 min,"Action, Adventure, Fantasy            ",(2018),6.3,"11,904"
['1308728'],The Happytime Murders,91 min,"Action, Comedy, Crime            ",(2018),5.4,"28,483"
['8173728'],La casa lobo,75 min,"Animation, Drama, Horror            ",(2018),7.5,"3,231"
['6864046'],Ying,116 min,"Action, Adventure, Drama            ",(2018),7.0,"16,169"
